Month,End use Consumption,Temp,Coal,Petroleum,Natural Gas,Nuclear,Hydropower,Biomass,Geothermal,Solar,Wind
1973/1/1,144.505,29.59,75.190149,31.183619,21.184967,6.246251,25.944364,0.020309,0.14349,0,0
1973/2/1,139.546,33.58,67.797946,26.086952,20.252525,5.928069,23.031167,0.029012,0.131171,0,0
1973/3/1,137.102,44.29,67.387612,24.033245,24.043248,6.649007,25.562643,0.034853,0.135938,0,0
1973/4/1,131.366,48.83,63.935049,20.195424,25.030266,5.876392,24.072596,0.023094,0.158705,0,0
1973/5/1,131.361,59.23,64.927181,21.741975,29.755984,5.696657,24.793222,0.024798,0.147965,0,0
1973/6/1,140.293,68.95,69.592039,25.999512,34.627356,6.784152,23.752076,0.020645,0.169654,0,0
1973/7/1,152.562,73.26,75.988308,28.728259,39.171261,6.960486,22.418901,0.02023,0.179895,0,0
1973/8/1,157.481,72.61,78.365191,30.745665,38.890546,7.785326,21.11968,0.032863,0.169592,0,0
1973/9/1,157.31,64.4,71.304493,27.109009,33.118166,7.862383,17.076411,0.037082,0.143622,0,0
1973/10/1,146.042,56.07,70.104344,27.224244,30.68893,7.518195,18.210551,0.037852,0.169452,0,0
1973/11/1,138.142,42.93,69.706997,26.124562,23.717377,8.142033,19.984267,0.0237,0.181805,0,0
1973/12/1,137.199,33.71,73.352161,25.170459,20.377565,8.030511,26.117573,0.023856,0.234424,0,0
1974/1/1,143.986,31.01,73.631774,26.198955,20.72802,7.60279,28.861101,0.025212,0.206282,0,0
1974/2/1,136.737,34.74,66.116767,22.564916,18.941924,8.115522,26.535505,0.01729,0.182051,0,0
1974/3/1,135.952,44.38,67.746788,22.136383,23.628456,8.777497,27.533955,0.017574,0.207322,0,0
1974/4/1,133.007,51.55,62.866281,19.940913,24.029361,7.128892,27.836249,0.023967,0.195253,0,0
1974/5/1,133.077,60.37,67.7894,22.682163,28.32525,6.562335,27.935041,0.023469,0.195399,0,0
1974/6/1,141.931,68.49,67.470507,23.064936,31.727856,7.079595,26.60201,0.026718,0.189133,0,0
1974/7/1,151.511,74.08,76.36127,27.725762,37.214571,10.209908,26.25021,0.020373,0.209804,0,0
1974/8/1,158.112,70.3,74.75954,27.201402,35.350593,12.333452,24.005689,0.021041,0.207135,0,0
1974/9/1,153.619,62.31,65.266997,25.047795,29.348424,11.009752,21.345072,0.029169,0.191428,0,0
1974/10/1,141.355,53.89,66.953772,25.70139,28.263526,10.863505,19.98516,0.01671,0.194383,0,0
1974/11/1,135.784,42.39,66.996029,27.758192,22.735948,11.004327,21.102039,0.01667,0.231149,0,0
1974/12/1,140.852,33.66,72.473794,30.907732,19.77116,13.288168,23.040135,0.012483,0.243295,0,0
1975/1/1,149.394,32.34,74.836043,30.632234,19.689283,13.938354,25.011443,0.014219,0.203434,0,0
1975/2/1,142.973,32.76,67.285094,24.923842,18.049671,12.733338,23.885821,0.011882,0.193978,0,0
1975/3/1,140.749,38.7,69.176492,23.122664,20.098711,14.881784,27.970111,0.012513,0.218817,0,0
1975/4/1,135.833,46.85,64.453298,21.257994,20.323206,13.327245,26.624339,0.01146,0.219194,0,0
1975/5/1,133.568,60.35,64.741073,21.050282,25.707482,13.763765,27.713373,0.017527,0.237853,0,0
1975/6/1,142.996,67.51,70.346207,23.062398,28.830399,12.74382,27.142779,0.021248,0.295063,0,0
1975/7/1,154.204,73.56,76.294723,25.132477,34.1819,15.372216,25.521546,0.01604,0.297005,0,0
1975/8/1,160.902,71.53,78.882011,27.957786,34.041236,15.879687,22.612189,0.019254,0.32205,0,0
1975/9/1,157.741,62.89,68.558859,21.426066,30.020384,14.396011,20.519408,0.018229,0.283868,0,0
1975/10/1,141.818,54.63,69.04272,21.994709,26.300474,14.626168,22.638919,0.018409,0.32731,0,0
1975/11/1,139.26,42.6,70.424195,21.614561,21.829846,14.164018,24.429203,0.015361,0.318052,0,0
1975/12/1,147.653,34.29,78.745507,26.919888,20.705816,16.678669,25.977509,0.014978,0.329548,0,0
1976/1/1,160.539,29.93,83.690963,32.230754,19.894883,16.098884,26.069875,0.015593,0.328068,0,0
1976/2/1,153.549,39.56,73.516196,24.78298,19.163451,14.377127,24.520505,0.014957,0.308483,0,0
1976/3/1,147.465,42.31,76.55369,25.436579,21.282392,13.992977,26.562676,0.015716,0.3303,0,0
1976/4/1,142.31,51.85,72.559403,23.310448,21.867164,10.981808,24.136743,0.014379,0.297457,0,0
